"homeInjuries","visitingInjuries","homeWLP","visitingWLP","homeDiff","visitingDiff","homeLast8WLP","visitingLast8WLP","visitingWLPAsVisitor","homeWLPAsHome","winningTeam"
1,0.01,0.7142857142857143,0.07692307692307693,7.357142857142861,-7.384615384615387,0.5,0.125,0,1,"HOME"
2,0.01,0.75,0.5625,9,1.1875,0.75,0.625,0.3,0.8,"HOME"
2,0.01,0.1875,0.4375,-5.5625,-4.125,0.125,0.375,0.25,0.3333333333333333,"HOME"
0.01,2,0.42857142857142855,0.5384615384615384,-0.857142857142847,-0.1538461538461462,0.25,0.5,0.6666666666666666,0.5,"HOME"
2,2,0.5,0.5625,-0.8571428571428612,-0.3125,0.375,0.5,0.5714285714285714,0.42857142857142855,"HOME"
1,1,0.7857142857142857,0.7333333333333333,4.5,5.333333333333329,0.75,0.75,0.5714285714285714,1,"HOME"
1,1,0.5,0.625,2.214285714285708,-0.5625,0.375,0.75,0.6666666666666666,0.5,"HOME"
1,0.01,0.25,0.375,-5.25,-4.5625,0.25,0.375,0.2222222222222222,0.4,"VISITING"
0.01,0.01,0.4375,0.29411764705882354,-2.25,-2.882352941176478,0.375,0.5,0.1,0.625,"HOME"
1,0.01,0.6,0.5,-0.6666666666666714,-0.4375,0.75,0.625,0.4,0.7142857142857143,"HOME"
0.01,0.01,0.4666666666666667,0.5294117647058824,0.6000000000000085,0.4117647058823479,0.5,0.625,0.2727272727272727,0.625,"HOME"
1,0.01,0.6,0.26666666666666666,4.066666666666663,-5.066666666666663,0.5,0.25,0,0.6666666666666666,"HOME"
2,1,0.7647058823529411,0.8571428571428571,6.764705882352942,8.785714285714292,0.75,0.875,0.8,0.6666666666666666,"HOME"
0.01,3,0,0.7647058823529411,-18.5,9.17647058823529,0,0.875,0.6666666666666666,0,"VISITING"
0.01,2,0.5,0.3333333333333333,4.625,-5.266666666666666,0.625,0.375,0.16666666666666666,0.6363636363636364,"VISITING"
1,0.01,0.7333333333333333,0.4117647058823529,8.266666666666666,-4.117647058823522,0.625,0.375,0.2222222222222222,1,"HOME"
0.01,0.01,0.4074074074074074,0.4117647058823529,-4.7037037037037095,-4.235294117647058,0.25,0.375,0.3,0.5,"VISITING"
0.01,2,0.2777777777777778,0.23529411764705882,-3.555555555555543,-5,0.5,0.25,0.18181818181818182,0.5714285714285714,"HOME"
1,2,0.47058823529411764,0.23529411764705882,-0.17647058823530415,-5,0.5,0.25,0.1,0.8,"HOME"
1,1,0.625,0.375,0.0625,-4.3125,0.75,0.375,0.2857142857142857,0.75,"VISITING"
0.01,1,0.5,0.625,-0.055555555555557135,6,0.625,0.5,0.5,1,"VISITING"
